docID,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
2397,37,1,1,36.48,2.35,6.17,21.62,94.59,86.49,64.86,16.22,10.81,2.7,0,0,0,8.11,5.41,13.51,2.7,0,0,13.51,0,21.62,13.51,27.03,8.11,0,0,0,0,0,35.14,8.11,27.03,2.7,10.81,0,0,2.7,10.81,0,2.7,0,2.7,0,0,0,0,0,0,0,8.11,0,0,0,0,0,0,8.11,0,0,0,0,0,0,0,0,2.7,0,0,2.7,0,0,13.51,0,0,0,0,0,0,5.41,8.11,0,0,0,0,0,0,0,0,2.7,13.51,2.7,0,0,0,2.7,0,0,0,16.22,5.41,0,0,0,0,0,0,18.92,16.22,0,0,0,2.7,0
2398,33,1,12.22,1.51,99,33,6.06,93.94,84.85,81.82,39.39,24.24,15.15,0,0,9.09,0,15.15,12.12,0,0,12.12,9.09,9.09,21.21,0,9.09,3.03,0,0,0,0,0,9.09,0,9.09,0,9.09,0,0,0,0,0,12.12,12.12,0,3.03,3.03,0,0,0,0,0,12.12,3.03,0,0,0,0,0,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,3.03,0,0,0,6.06,0
2399,23,82.28,40.06,17.84,20.23,23,8.7,91.3,56.52,39.13,0,0,0,0,0,0,0,0,0,0,0,17.39,8.7,0,13.04,0,26.09,0,0,4.35,0,0,4.35,26.09,0,26.09,0,13.04,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,30.43,21.74,0,4.35,21.74,0,0,0,0,0,0,0,0,0,0,0,0,4.35,4.35,0,0,0,0,0
2400,16,43.4,99,1.63,20.23,8,6.25,81.25,68.75,62.5,18.75,18.75,0,0,0,18.75,0,0,18.75,6.25,0,12.5,6.25,0,12.5,0,12.5,0,0,0,0,0,0,18.75,12.5,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,0,18.75,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,18.75,0,12.5,12.5,0,0,0,0,6.25,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0
2401,10,39.7,1,98.38,20.23,5,10,60,60,60,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,20,20,0,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,20,20,0,0,0,0,0
2402,19,6.22,3.34,8.42,20.23,9.5,21.05,89.47,84.21,78.95,36.84,21.05,15.79,0,0,5.26,0,15.79,10.53,10.53,0,10.53,5.26,0,15.79,0,5.26,5.26,0,5.26,0,5.26,0,15.79,0,15.79,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,5.26,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,10.53,10.53,0,0,0,0,0
2403,20,26.1,40.06,28.56,20.23,6.67,15,75,75,50,0,0,0,0,0,0,0,0,5,0,0,10,15,0,20,0,35,0,5,0,0,0,0,35,5,30,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,20,0,10,20,0,0,0,0,0,5,0,5,0,5,0,0,15,15,0,0,0,0,0
2404,11,20.83,99,1,20.23,5.5,0,45.45,45.45,45.45,27.27,27.27,0,0,0,27.27,0,0,9.09,0,0,9.09,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,0,0,0,0,0,27.27,0,0,27.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,18.18,0,0,0,0,0
2405,35,1,1,4.17,1,35,22.86,85.71,77.14,68.57,14.29,2.86,2.86,0,0,0,0,11.43,14.29,2.86,0,0,20,8.57,20,11.43,25.71,2.86,0,5.71,0,0,5.71,37.14,5.71,31.43,0,11.43,8.57,8.57,0,11.43,0,5.71,0,5.71,0,0,0,0,0,0,0,2.86,2.86,0,0,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0,2.86,8.57,5.71,0,0,0,0,0,0,8.57,2.86,0,0,0,5.71,0
2406,55,17.1,80.05,1,76.62,55,7.27,87.27,72.73,63.64,20,12.73,1.82,3.64,0,5.45,1.82,7.27,9.09,7.27,0,10.91,9.09,9.09,9.09,0,18.18,0,0,7.27,5.45,3.64,0,21.82,0,21.82,5.45,9.09,5.45,7.27,0,5.45,0,3.64,3.64,0,1.82,1.82,0,0,0,0,0,18.18,7.27,0,1.82,0,0,5.45,10.91,0,0,0,5.45,1.82,0,0,1.82,12.73,7.27,0,1.82,3.64,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,7.27,3.64,1.82,0,1.82,1.82,0,0,0,9.09,3.64,0,0,0,0,0,0,5.45,1.82,0,0,0,3.64,0
2407,13,1,81.78,81.58,20.23,6.5,23.08,76.92,76.92,61.54,15.38,15.38,0,0,0,0,15.38,0,0,0,0,7.69,15.38,15.38,7.69,7.69,30.77,0,0,0,0,0,0,23.08,0,23.08,0,7.69,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,38.46,0,0,38.46,0,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,0,7.69,0,7.69,0
2408,11,20.83,99,1,99,11,27.27,81.82,72.73,63.64,18.18,18.18,0,0,0,18.18,0,0,9.09,9.09,0,9.09,18.18,0,9.09,0,27.27,0,0,9.09,9.09,9.09,0,18.18,0,18.18,0,9.09,9.09,0,0,0,0,9.09,9.09,0,9.09,9.09,0,0,0,0,0,27.27,9.09,0,0,0,0,0,18.18,0,0,18.18,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0
2409,53,5.44,1,41.82,1,10.6,13.21,94.34,86.79,66.04,13.21,3.77,3.77,0,0,0,0,9.43,15.09,7.55,0,3.77,16.98,5.66,7.55,5.66,32.08,5.66,5.66,0,0,0,0,26.42,1.89,24.53,5.66,3.77,7.55,3.77,0,7.55,0,5.66,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55,0,0,0,0,0,0,1.89,0,0,0,3.77,0,0,0,0,0,0,5.66,15.09,0,0,5.66,0,1.89,5.66,1.89,7.55,5.66,0,0,0,0,0,0,9.43,9.43,0,0,0,0,0
2410,15,10.19,99,1,99,15,20,80,66.67,46.67,26.67,26.67,6.67,13.33,0,6.67,0,0,0,0,0,6.67,6.67,0,6.67,0,26.67,0,0,26.67,26.67,6.67,0,26.67,0,26.67,6.67,6.67,13.33,0,0,0,0,13.33,13.33,0,6.67,6.67,0,0,0,0,0,33.33,13.33,6.67,0,0,0,0,20,0,0,0,6.67,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0
2411,21,56.86,40.06,24.32,1,10.5,23.81,80.95,71.43,57.14,4.76,0,0,0,0,0,0,4.76,28.57,23.81,0,0,14.29,9.52,9.52,0,19.05,9.52,9.52,4.76,0,0,4.76,9.52,0,9.52,4.76,9.52,0,0,0,0,0,4.76,0,4.76,0,0,0,0,0,0,0,4.76,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0,0,0,0,9.52,4.76,0,0,4.76,0,0,0,4.76,14.29,4.76,0,0,0,0,0,0,14.29,9.52,0,0,0,4.76,0
2412,16,26.1,99,54.55,20.23,8,37.5,75,50,43.75,18.75,12.5,0,12.5,0,0,0,6.25,6.25,0,0,12.5,12.5,0,6.25,0,12.5,6.25,0,18.75,18.75,0,0,12.5,0,12.5,0,6.25,0,6.25,0,0,0,12.5,6.25,6.25,6.25,0,6.25,0,0,0,0,18.75,6.25,6.25,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,12.5,0,0,12.5,6.25,0,12.5,0,0,0,0,0,0,18.75,12.5,0,0,0,6.25,0
2413,35,5.94,1,99,1.98,8.75,25.71,80,71.43,45.71,20,11.43,11.43,0,0,0,0,8.57,14.29,5.71,0,2.86,5.71,8.57,8.57,2.86,28.57,2.86,2.86,0,0,0,0,28.57,0,28.57,14.29,11.43,0,0,0,2.86,0,2.86,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,2.86,0,0,5.71,0,0,0,0,0,0,0,5.71,0,0,2.86,0,0,0,0,0,2.86,5.71,5.71,0,0,2.86,0,0,0,0,8.57,2.86,0,0,0,0,0,0,17.14,11.43,0,0,0,5.71,0
2414,41,69.71,26.81,94.28,58.42,13.67,14.63,90.24,70.73,58.54,14.63,9.76,7.32,0,0,2.44,0,4.88,24.39,14.63,0,9.76,14.63,2.44,2.44,0,21.95,2.44,2.44,2.44,0,2.44,0,9.76,0,9.76,7.32,4.88,0,0,0,0,0,2.44,2.44,0,0,0,0,0,0,0,0,7.32,2.44,0,0,0,0,2.44,4.88,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32,9.76,0,4.88,4.88,0,0,0,4.88,2.44,9.76,2.44,0,0,0,0,0,7.32,7.32,0,0,0,0,0
2415,39,7.14,15.29,16.81,2.7,9.75,17.95,71.79,66.67,58.97,10.26,2.56,0,0,2.56,0,0,7.69,20.51,2.56,2.56,5.13,12.82,7.69,7.69,5.13,17.95,7.69,7.69,0,0,0,0,12.82,2.56,10.26,0,2.56,2.56,2.56,0,5.13,0,2.56,0,2.56,2.56,0,2.56,0,0,0,0,5.13,2.56,0,0,0,0,2.56,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,2.56,0,2.56,0,0,0,0,0,0,0,0,10.26,7.69,0,0,7.69,0,0,0,2.56,2.56,7.69,2.56,0,0,0,0,0,15.38,10.26,5.13,0,0,0,0
2416,17,95.53,93.56,12.44,20.23,17,23.53,64.71,58.82,47.06,5.88,5.88,0,0,0,5.88,0,0,17.65,11.76,5.88,11.76,5.88,0,5.88,0,17.65,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,11.76,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.65,0,11.76,5.88,0,0,0,0,11.76,0,0,0,0,0,0,0,5.88,5.88,0,0,0,0,0
